#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2021-11-03T12:43:34 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ618280b2388b7b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=50	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/ApJ/892/102&tab:{J/ApJ/892/102/table3}&key:source=J/ApJ/892/102&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/892/102/table3
#-order=I
#-out=PLCKESZ
#-out=f_PLCKESZ
#-out=z
#-out=M500
#-out=E_M500
#-out=e_M500
#-out=Mg500
#-out=E_Mg500
#-out=e_Mg500
#-out=kT
#-out.all=2
#-out=E_kT
#-out=e_kT
#-out=kTexc
#-out=E_kTexc
#-out=e_kTexc
#-out=LX
#-out=E_LX
#-out=e_LX
#-out=LXexc
#-out=E_LXexc
#-out=e_LXexc
#-out=Lbol
#-out=E_Lbol
#-out.all=2
#-out=e_Lbol
#-out=Lbolexc
#-out=E_Lbolexc
#-out=e_Lbolexc
#-out=NT
#-out=fT
#-out=Nsb
#-out=fsb
#-out=Simbad
#Simbad=Simbad
#-out=NED
#NED=NED
#-out=_RA
#-out=_DE
#-out.all=2
#

#RESOURCE=yCat_18920102
#Name: J/ApJ/892/102
#Title: XMM X-ray data of Planck ESZ galaxy clusters (Lovisari+, 2020)
#Table	J_ApJ_892_102_table3:
#Name: J/ApJ/892/102/table3
#Title: Cluster properties
#Column	PLCKESZ	(A13)	Planck identifier GLLL.ll+BB.bb (1)	[ucd=meta.id;meta.main]
#Column	f_PLCKESZ	(A1)	[*] * = not explained in the paper	[ucd=stat.fit.param]
#Column	z	(F6.3)	[0.059/0.6] Cluster spectroscopic redshift	[ucd=src.redshift]
#Column	M500	(F5.2)	[2.4/17.6] Total mass with R_500_	[ucd=phys.mass]
#Column	E_M500	(F5.2)	[0.04/6] Upper uncertainty in M500	[ucd=stat.error;stat.max]
#Column	e_M500	(F5.2)	[0.03/5] Lower uncertainty in M500	[ucd=stat.error]
#Column	Mg500	(F5.2)	[2.87/32] Gas mass with R_500_	[ucd=phys.mass]
#Column	E_Mg500	(F5.2)	[0.03/3] Upper uncertainty in Mg500	[ucd=stat.error;stat.max]
#Column	e_Mg500	(F5.2)	[0.03/6] Upper uncertainty in Mg500	[ucd=stat.error]
#Column	kT	(F5.2)	[1.67/14.4] Core-included cluster temperature	[ucd=phys.temperature;em.X-ray]
#Column	E_kT	(F5.2)	[0.03/1.4] Upper uncertainty in kT	[ucd=stat.error;stat.max]
#Column	e_kT	(F5.2)	[0.03/1.4] Lower uncertainty in kT	[ucd=stat.error;phys.energy]
#Column	kTexc	(F5.2)	[1.4/15.1] Core-excluded cluster temperature	[ucd=phys.temperature;em.X-ray]
#Column	E_kTexc	(F5.2)	[0.04/1.6] Upper uncertainty in kTexc	[ucd=stat.error;stat.max]
#Column	e_kTexc	(F5.2)	[0.04/1.6] Lower uncertainty in kTexc	[ucd=stat.error]
#Column	LX	(F5.2)	[1.28/27.1] Core-included cluster 0.1-2.4keV luminosity; erg/s	[ucd=phys.luminosity;em.X-ray]
#Column	E_LX	(F5.2)	[0.04/1.7] Upper uncertainty in LX	[ucd=stat.error;stat.max]
#Column	e_LX	(F5.2)	[0.04/1.7] Lower uncertainty in LX	[ucd=stat.error]
#Column	LXexc	(F5.2)	[0.86/18] Core-excluded cluster 0.1-2.4keV luminosity; erg/s	[ucd=phys.luminosity;em.X-ray]
#Column	E_LXexc	(F5.2)	[0.01/1.3] Upper uncertainty in LXexc	[ucd=stat.error;stat.max]
#Column	e_LXexc	(F5.2)	[0.01/1.3] Lower uncertainty in LXexc	[ucd=stat.error]
#Column	Lbol	(F5.2)	[2.6/87] Core-included cluster bolometric (0.01-100keV) luminosity; erg/s	[ucd=phys.luminosity]
#Column	E_Lbol	(F5.2)	[0.1/8] Upper uncertainty in Lbol	[ucd=stat.error;stat.max]
#Column	e_Lbol	(F5.2)	[0.1/8] Lower uncertainty in Lbol	[ucd=stat.error]
#Column	Lbolexc	(F5.2)	[1.87/61] Core-excluded cluster bolometric (0.01-100keV) luminosity; in erg/s units	[ucd=phys.luminosity]
#Column	E_Lbolexc	(F5.2)	[0.01/4] Upper uncertainty in Lbolexc	[ucd=stat.error;stat.max]
#Column	e_Lbolexc	(F5.2)	[0.01/4] Lower uncertainty in Lbolexc	[ucd=stat.error]
#Column	NT	(I2)	[1/33] Number of temperature profile bins	[ucd=meta.number]
#Column	fT	(F5.2)	[0.3/1.3] Fraction of R_500_ covered by temperature profile	[ucd=stat.fit.param]
#Column	Nsb	(I3)	[4/372] Number of surface brightness profile bins	[ucd=meta.number]
#Column	fsb	(F5.2)	[0.5/1.7] Fraction of R_500_ covered by surface brightness profile	[ucd=stat.fit.param]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.number]
#Column	_RA	(F7.3)	Positions from Planck ESZ catalog (VIII/88) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F7.3)	Positions from Planck ESZ catalog (VIII/88) (declination part)	[ucd=pos.eq.dec;meta.main]
PLCKESZ	f_PLCKESZ	z	M500	E_M500	e_M500	Mg500	E_Mg500	e_Mg500	kT	E_kT	e_kT	kTexc	E_kTexc	e_kTexc	LX	E_LX	e_LX	LXexc	E_LXexc	e_LXexc	Lbol	E_Lbol	e_Lbol	Lbolexc	E_Lbolexc	e_Lbolexc	NT	fT	Nsb	fsb	Simbad	NED	_RA	_DE
G055.60+31.86	 	 0.224	 6.54	 0.18	 0.15	 9.41	 0.12	 0.10	 7.39	 0.11	 0.11	 7.30	 0.14	 0.14	10.06	 0.30	 0.30	 5.34	 0.21	 0.21	25.87	 0.85	 0.85	13.65	 0.56	 0.56	 9	 1.03	 53	 1.10	Simbad	NED	260.612	+32.143
G055.97-34.88	 	 0.124	 5.41	 0.45	 0.37	 3.44	 0.09	 0.09	 6.25	 0.37	 0.37	 5.50	 0.37	 0.37	 2.11	 0.08	 0.08	 1.54	 0.07	 0.07	 5.47	 0.32	 0.32	 4.01	 0.22	 0.22	 7	 0.42	 18	 0.51	Simbad	NED	323.827	+01.431
G056.81+36.31	 	 0.095	 3.98	 0.08	 0.07	 5.12	 0.04	 0.04	 4.98	 0.05	 0.05	 4.83	 0.07	 0.07	 4.34	 0.12	 0.12	 2.35	 0.06	 0.06	 9.30	 0.31	 0.31	 5.05	 0.17	 0.17	15	 1.01	 99	 1.10	Simbad	NED	255.678	+34.081
G056.96-55.07	 	 0.447	 9.62	 0.25	 0.25	15.23	 0.14	 0.14	 7.63	 0.12	 0.12	 7.58	 0.13	 0.13	14.61	 0.39	 0.39	11.98	 0.30	 0.30	38.36	 1.50	 1.50	31.48	 1.16	 1.16	 5	 0.91	 48	 0.94	Simbad	NED	340.841	-09.577
G057.26-45.35	 	 0.397	13.17	 0.64	 0.65	18.61	 0.29	 0.28	10.39	 0.33	 0.33	 9.99	 0.44	 0.44	25.32	 0.73	 0.73	12.75	 0.27	 0.27	82.81	 4.14	 4.14	41.70	 1.75	 1.75	 5	 0.91	 32	 1.00	Simbad	NED	332.943	-03.825
G058.28+18.59	 	 0.065	 3.72	 0.06	 0.07	 4.54	 0.20	 0.05	 5.01	 0.04	 0.04	 4.87	 0.05	 0.05	 2.01	 0.04	 0.04	 1.66	 0.02	 0.02	 4.03	 0.11	 0.11	 3.31	 0.08	 0.08	19	 1.01	 65	 1.07	Simbad	NED	276.283	+30.434
G062.42-46.41	 	 0.091	 3.26	 0.39	 0.15	 2.87	 0.13	 0.12	 4.25	 0.08	 0.08	 4.28	 0.12	 0.12	 1.42	 0.05	 0.05	 1.15	 0.04	 0.04	 2.65	 0.13	 0.13	 2.14	 0.10	 0.10	 8	 0.41	 30	 0.56	Simbad	NED	335.965	-01.617
G067.23+67.46	 	 0.171	 8.11	 0.17	 0.18	10.44	 0.08	 0.12	 8.16	 0.13	 0.13	 7.65	 0.17	 0.17	10.96	 0.16	 0.16	 6.90	 0.27	 0.27	30.38	 0.63	 0.63	19.11	 0.55	 0.55	14	 1.03	 71	 1.08	Simbad	NED	216.493	+37.834
G071.61+29.79	 	 0.157	 4.24	 0.76	 0.59	 5.32	 0.51	 0.43	 4.88	 0.36	 0.36	 4.93	 0.42	 0.42	 2.44	 0.15	 0.15	 2.20	 0.12	 0.12	 4.58	 0.39	 0.39	 4.13	 0.32	 0.32	 4	 0.95	 15	 1.05	Simbad	NED	266.803	+45.178
G072.63+41.46	 	 0.228	10.71	 0.42	 0.39	16.51	 0.26	 0.25	 8.95	 0.25	 0.25	 8.91	 0.30	 0.30	14.61	 0.50	 0.50	10.44	 0.29	 0.29	45.16	 2.48	 2.48	32.30	 1.58	 1.58	 9	 0.97	 45	 0.97	Simbad	NED	250.097	+46.713
G072.80-18.72	 	 0.143	 5.33	 0.17	 0.12	 8.25	 0.11	 0.08	 5.93	 0.09	 0.09	 5.99	 0.12	 0.12	 5.69	 0.19	 0.19	 3.99	 0.13	 0.13	13.32	 0.59	 0.59	 9.35	 0.38	 0.38	12	 0.93	 45	 0.93	Simbad	NED	320.594	+23.203
G073.96-27.82	 	 0.233	11.41	 0.45	 0.38	17.19	 0.28	 0.24	 9.53	 0.24	 0.24	10.67	 0.47	 0.47	16.85	 0.36	 0.36	10.00	 0.20	 0.20	55.79	 1.80	 1.80	33.26	 0.90	 0.90	 9	 0.94	 17	 1.01	Simbad	NED	328.412	+17.693
G080.38-33.20	 	 0.107	 3.66	 0.07	 0.06	 3.83	 0.03	 0.03	 5.41	 0.07	 0.07	 4.82	 0.08	 0.08	 2.19	 0.04	 0.04	 1.46	 0.02	 0.02	 4.87	 0.12	 0.12	 3.26	 0.06	 0.06	12	 0.97	 99	 1.15	Simbad	NED	336.495	+17.391
G080.99-50.90	 	 0.300	 6.62	 0.32	 0.23	 9.55	 0.20	 0.17	 7.15	 0.25	 0.25	 6.92	 0.24	 0.24	 8.49	 0.42	 0.42	 5.55	 0.19	 0.19	23.28	 1.60	 1.60	15.18	 0.62	 0.62	 6	 0.94	 20	 1.19	Simbad	NED	347.881	+03.645
G083.28-31.03	 	 0.412	 7.68	 0.47	 0.38	12.48	 0.30	 0.25	 7.24	 0.31	 0.31	 7.02	 0.34	 0.34	11.78	 0.40	 0.40	 8.31	 0.17	 0.17	30.61	 1.90	 1.90	21.26	 0.83	 0.83	 6	 1.17	 19	 1.50	Simbad	NED	337.118	+20.619
G085.99+26.71	 	 0.179	 3.31	 0.68	 0.57	 3.97	 0.47	 0.41	 4.57	 0.26	 0.26	 4.51	 0.29	 0.29	 1.82	 0.14	 0.14	 1.63	 0.12	 0.12	 3.69	 0.41	 0.41	 3.31	 0.35	 0.35	 4	 0.66	 13	 1.18	Simbad	NED	274.963	+57.188
G086.45+15.29	*	 0.260	 5.74	 0.33	 0.25	 9.30	 0.21	 0.18	 7.14	 0.29	 0.29	 6.82	 0.38	 0.38	11.38	 0.41	 0.41	 6.45	 0.10	 0.10	27.51	 1.40	 1.40	17.61	 0.42	 0.42	 7	 1.10	 22	 1.16	Simbad	NED	294.566	+54.154
G092.73+73.46	 	 0.228	 6.18	 0.32	 0.28	10.72	 0.29	 0.26	 7.13	 0.19	 0.19	 7.09	 0.21	 0.21	 7.74	 0.31	 0.31	 5.72	 0.15	 0.15	19.00	 1.08	 1.08	10.90	 0.41	 0.41	 9	 1.17	 27	 1.26	Simbad	NED	203.797	+41.001
G093.91+34.90	 	 0.081	 4.68	 0.71	 0.50	 5.49	 0.44	 0.33	 5.36	 0.81	 0.81	 5.31	 0.21	 0.21	 3.43	 0.24	 0.24	 2.86	 0.19	 0.19	 7.57	 0.66	 0.66	 5.46	 0.36	 0.36	 7	 0.85	 44	 1.07	Simbad	NED	258.237	+64.055
G096.87+24.21	 	 0.300	 5.47	 2.40	 1.39	 6.28	 1.08	 0.89	 5.05	 0.54	 0.54	 4.99	 0.60	 0.60	 3.04	 0.32	 0.32	 2.65	 0.23	 0.23	 6.80	 0.97	 0.97	 5.94	 0.74	 0.74	 2	 0.63	 17	 0.95	Simbad	NED	284.076	+66.382
G097.73+38.11	 	 0.171	 4.21	 0.21	 0.20	 6.87	 0.17	 0.16	 6.38	 0.11	 0.11	 6.07	 0.14	 0.14	 5.24	 0.13	 0.13	 3.77	 0.05	 0.05	12.26	 0.43	 0.43	 8.84	 0.19	 0.19	 9	 1.00	 18	 1.07	Simbad	NED	248.988	+66.214
G098.95+24.86	 	 0.093	 3.25	 0.35	 0.15	 2.99	 0.14	 0.07	 4.97	 0.20	 0.20	 4.94	 0.28	 0.28	 1.28	 0.06	 0.06	 0.86	 0.03	 0.03	 2.77	 0.19	 0.19	 1.87	 0.11	 0.11	 8	 0.72	 22	 0.74	Simbad	NED	283.457	+68.358
G106.73-83.22	 	 0.292	 5.18	 0.36	 0.29	 8.31	 0.26	 0.22	 6.70	 0.25	 0.25	 6.53	 0.28	 0.28	 8.28	 0.30	 0.30	 5.68	 0.10	 0.10	18.64	 1.27	 1.27	12.80	 0.50	 0.50	 4	 0.51	 14	 0.78	Simbad	NED	010.844	-20.609
G107.11+65.31	 	 0.292	 7.26	 0.75	 0.67	 6.94	 0.30	 0.28	 6.64	 0.49	 0.49	 6.78	 0.69	 0.69	10.02	 0.56	 0.56	 9.03	 0.42	 0.42	27.55	 3.06	 3.06	24.83	 2.38	 2.38	 6	 0.80	 25	 1.00	Simbad	NED	203.177	+50.528
G113.82+44.35	 	 0.225	 3.87	 0.32	 0.21	 5.70	 0.28	 0.22	 5.29	 0.30	 0.30	 5.43	 0.34	 0.34	 3.73	 0.22	 0.22	 3.14	 0.14	 0.14	 7.95	 0.68	 0.68	 6.68	 0.45	 0.45	 4	 0.64	 19	 0.89	Simbad	NED	213.522	+71.287
G124.21-36.48	 	 0.197	 5.81	 0.57	 0.62	 7.81	 0.29	 0.33	 4.78	 0.11	 0.11	 5.81	 0.16	 0.16	 3.89	 0.14	 0.14	 2.42	 0.06	 0.06	 7.91	 0.34	 0.34	 4.94	 0.16	 0.16	 9	 0.81	 23	 1.23	Simbad	NED	014.014	+26.374
G125.70+53.85	 	 0.302	 6.78	 0.69	 0.65	 9.64	 0.43	 0.43	 6.84	 0.44	 0.44	 6.99	 0.58	 0.58	 6.94	 0.39	 0.39	 4.93	 0.14	 0.14	18.07	 1.81	 1.81	12.02	 0.70	 0.70	 5	 0.96	 14	 1.15	Simbad	NED	189.231	+63.193
G139.19+56.35	 	 0.322	 7.42	 5.68	 1.68	10.23	 1.42	 0.80	 6.10	 0.57	 0.57	 6.32	 0.69	 0.69	 6.47	 0.56	 0.56	 5.45	 0.38	 0.38	16.18	 1.83	 1.83	13.66	 1.07	 1.07	 4	 0.39	 15	 0.63	Simbad	NED	175.565	+58.534
G149.73+34.69	 	 0.182	 7.12	 0.71	 0.63	11.68	 0.57	 0.55	 7.39	 0.42	 0.42	 7.15	 0.51	 0.51	 8.46	 0.36	 0.36	 5.96	 0.15	 0.15	22.10	 1.79	 1.79	15.61	 0.81	 0.81	 6	 0.59	 11	 0.72	Simbad	NED	127.753	+65.878
G157.43+30.33	 	 0.450	 6.23	 0.52	 0.42	 9.64	 0.35	 0.31	 7.54	 0.58	 0.58	 7.06	 0.59	 0.59	 8.01	 0.27	 0.27	 6.15	 0.23	 0.23	21.05	 1.57	 1.57	16.26	 1.14	 1.14	 3	 1.00	 13	 1.13	Simbad	NED	117.221	+59.694
G159.85-73.47	 	 0.206	 6.73	 0.64	 0.70	 9.88	 0.41	 0.47	 5.89	 0.57	 0.57	 5.82	 0.83	 0.83	 6.86	 0.27	 0.27	 4.80	 0.11	 0.11	16.15	 0.90	 0.90	11.29	 0.37	 0.37	10	 1.09	 34	 1.09	Simbad	NED	022.986	-13.577
